neg,very bad
neg,uncomfortable
neg,very uncomfortable
neg,very pricey
neg,staffs were not nice
neg,staffs were annoying
neg,i hate the staffs
neg,hate the place
neg,will never come back
neg,We stayed in the mounting wing for our first night. The room had a nice view. But the room in this wing seemed outdated compared to the Lake wing rooms. Sadly  the shower drain we had in our room wasn't working properly. It was flooding every time we had to use the shower. We had requested to change rooms for our second night. Also  there was an on-going construction in the mountain wing but they weren't noisy or too obstructive.;
pos,The location was great. We stayed here for a friend's wedding in the area. Rooms in the Lake Wing are newer and better. And the rooms with the lake view are great. We transferred to a Lake wing room on the second night. Although we did not get the lake view  we were lucky that the room we got had a nice view  of the nearby park and a glimpse of the lake. Overall  it was a  good comfortable stay.;
neg,My room is too far from the lobby and the dining area  it made me walk too long and far to get to my room. Its a bit hard to get public transpo from the place during non peak hour.;
pos,Its very peaceful in the venue. The staff are very accommodating.;
neg,No vday inthe rest room;
pos,The room should have vday in the rest room and other restrooms in the lobby.  Everyrhing went well.;
neg,No bidet and old model of hot and cold shower;
pos,Bed;
neg,No bidet;
pos,Awesome view  bit cold temperature  warm welcome by the hotel  and campfire during dinner.;
neg,No desserts (other than fruits) on breakfast  view wasn't as expected (view was the Sky Ranch and highway - room without balcony)  cold floor (tiles);
pos,The staffs are friendly and polite. The rooms at the Lake wing are the best.;
neg,The Game room and the things inside it is quite old. I suggest they renovate it  replace the billiard table  buy an original billiard balls  add more dart pins (there is only one). The TV is not working. Add and think of other indoor activities/recreation. :);
pos,Clean facilities. Nice coffee (nespresso) in the room. Helpful staff. Great breakfast. 'Appreciate the variety and attention to details (vegetables cut  etc.);
neg,Gym facilities could be improved.;
pos,We appreciate the kid's club though there's not much in there. My kids love the pool as well.;
neg,We don't like the view from our room.;
pos,The cleanliness of the place.;
neg,The service at the restaurant  room service  and IT.;
pos,The view!;
neg,Mini-bar was empty.  No bath may or hand towels in bathroom;
neg,Booked family of six and was separated by the two wings of the hotel (10 minute walk between).;
pos,Very family friendly.;
neg,the comfort room. dirty;
pos,just the venue.;
neg,Fridge is not cold and not really clean.;
pos,Stunning view. Clean swimming pool and accessible famous spots and restaurants;
neg,The.linens in the bathroom seem to be old.;
pos,The client service rep (Kevina)at the counter was very courteous and accommodating.;
neg,Bathroom is  a little old in our room;
pos,Good breakfast buffet  volcano view from the backyard  nice staff;
neg,I dont liked the beddings its itchy  probably the bugs!;
pos,I liked the courtesy of staffs  & the food!;
neg,Coffee;
pos,Very good breakfast;
neg,price;
pos,Scenic view  food and staff;
pos,Id Love the relaxing view of taal lake..walking distance to skyranch.staff are helpful and accomodating.;
pos,the view;
neg,The kingsize bed in our room was soggy and squeeky  i.e. uncomfortable. Apparently  over used and needs to be replaced.;
pos,Good food and great scenery;
neg,Lack of public transportation.;
pos,Breath taking view of the lake. The breakfast buffet selection.;
neg,the bed sheets  linens needs to be replaced;
pos,food and view;
neg,A very busy lobby on the lake wing;
pos,The surprise greeting cake for my daughter upon our check in.;
neg,Limited choice for breakfast buffet;
pos,They upgraded our booked accomodation;
neg,Cr has no bidet And aircon was not strong enough to provide adequate room temp;
pos,Amazing ambience;
