Review,Rating Date,Rating,Sentiment,Site  
We stayed in the mounting wing for our first night. The room had a nice view. But the room in this wing seemed outdated compared to the Lake wing rooms. Sadly  the shower drain we had in our room wasn't working properly. It was flooding every time we had to use the shower. We had requested to change rooms for our second night. Also  there was an on-going construction in the mountain wing but they weren't noisy or too obstructive.,11-Jul-17,,neg,booking
The location was great. We stayed here for a friend's wedding in the area. Rooms in the Lake Wing are newer and better. And the rooms with the lake view are great. We transferred to a Lake wing room on the second night. Although we did not get the lake view  we were lucky that the room we got had a nice view  of the nearby park and a glimpse of the lake. Overall  it was a  good comfortable stay.,11-Jul-17,,pos,booking
Valet parking is with a fee. A bucket of ice (requested for room service) is also with a fee!!!,11-Oct-17,,neg,booking
The 2 BR suite is spacious..bed is big and comfortable. Hotels view of the taal is always an added bunos for the stay. Verandas breakfast option is also good.,11-Oct-17,,pos,booking
Water lavabo loopt in een straal constant 24hr  should be checked,5-Oct-17,,neg,booking
View deck overlooking Taal Lake,5-Oct-17,,pos,booking
None,4-Oct-17,,neg,booking
Omgeving,4-Oct-17,,pos,Site  
The pillows aren't fluffy; it's flat and hard. Door to the terrace can be hard to move and get stuck.,4-Oct-17,81,neg,booking
Cozy beds  extra pillows  ambiance  room scent,4-Oct-17,81,pos,booking
the aircon is too cold even if you adjust it,2-Oct-17,88,neg,booking
comfy bed,2-Oct-17,88,pos,booking
We arrived at 2:30 for check in. Were still made to wait for several minutes for them to check if the room is available. The room should be ready by 2PM,2-Oct-17,75,neg,booking
The greens surrounding the entire property is very relaxing and soothing to the eyes and the soul. For s busy person like me  communing with nature recharges and invigorates my inner being.,2-Oct-17,75,pos,booking
I wish there was a refill for the fruits because we there was still an hour left for the buffet service. Also  the aircon was not so cold.,1-Oct-17,75,neg,booking
I like the bed!,1-Oct-17,75,pos,booking
My room is too far from the lobby and the dining area  it made me walk too long and far to get to my room. Its a bit hard to get public transpo from the place during non peak hour.,26-Sep-17,83,neg,booking
Its very peaceful in the venue. The staff are very accommodating.,26-Sep-17,83,pos,booking
A better wifi connection in the entire room  booked a suite room but cannot connect with the wifi in the living room.  They don't cater/allow an extra bed.  Better to have more options on their breakfast menu especially on their dessert station.  The rooms (since we booked three rooms) are not well maintained- the bathtubs have no drain stopper/cover and peeling finish (even in the suite room) and the old wooden doors are damaged especially their edges.,21-Sep-17,,neg,booking
The place was just perfect & what we needed for a relaxing overnight stay.  It was raining the day we checked in  but we had a wonderful sleep  thanks to the in-room massage we had!  The weather got better the following day so I woke up to the beautiful site of the Taal Lake and its surroundings.  It was just breath-taking!  There was a variety of choices for breakfast  and I was even able to request for hot choco!  Yum!  The walk around the hotel grounds was relaxing and nice  and the shop inside the hotel was convenient (I forgot to bring a shirt  but got one there.).  The front desk ladies were pleasant  and all the hotel staff were polite and friendly wherever you meet them.  It was a great experience overall!  Would stay again! :),21-Sep-17,,pos,booking
We saw a rat inside our room. The hotel is quite outdated  especially their rooms in the mountain wing.,19-Sep-17,,neg,booking
I like the most are the staffs  they are very courteous and respond to our queries immediately.  It offers good & tasty breakfast. Also  it has a great view of Taal Lake.  The hotel is huge  very clean and their check-in and check-out services is fast.,19-Sep-17,,pos,booking
Not pet friendly. would not allow our small dog,15-Sep-17,,neg,booking
The food  the bed  the place  the view  the facilities and the staff.,15-Sep-17,,pos,booking
We attended a seminar.of over 600 delegates the staff serving food could not attend to our requests immediately  . Coffee is not hot,11-Sep-17,,neg,booking
Woke up sweating at 4am bacause of defective airconditioning only to be transfered to another non-cooling aircon room. 2 room transfers in 1  day,11-Sep-17,81,neg,booking
the room is under the gym which i really like its very near,11-Sep-17,81,pos,booking
Cr not really good smell something fishy,10-Sep-17,96,neg,booking
The view of the hotel friendly front desk staff,10-Sep-17,96,pos,booking
i think its a bit xpensive for 9500 per night since we do not even have balcony and bathtub in our room.,6-Sep-17,75,neg,booking
Restaurant food and ambience was good! Beautiful scenery from the bedroom balcony.,6-Sep-17,75,pos,booking
The ovelooking view,5-Sep-17,75,pos,booking
i like the ambiance of the hotel and the cold weather.,5-Sep-17,71,pos,booking
Traffic !,4-Sep-17,,neg,booking
The location is great which is beside Sky Ranch   the short drive to other very good restaurants  the Mahogany Market   golf course and Little Souls church. It provides one with a majestic view of Taal Lake. Professional   courteous and helpful Staff .,4-Sep-17,,pos,booking
