site,review,date,sentiment
booking,the toilet bowl was unclean. maybe it was the recycled water  but it was very unpleasant.,2015-10-12,neg
booking,Location   and everything in the hotel is super nice  ..,2015-10-12,pos
booking,We were given the wrong area lake view 419instead of mountain view ( written - check in paper). No one assisted us so we walked on our own to reach the area. We saw a guard but instructed as to go to different area(from right side towards the left most side- mountain view to lake view). Upon reaching there  we were told that we have to walk all the way to the other side of the property.  And that 419 is mountain view n not lake view. They told us that the paper was wrong. We were carrying our bags by ourselves with no one assisting  or guiding us.,2015-10-12,neg
booking,it has the best view of the lake and the volcano. the staff is super friendly.,2015-10-12,pos
booking,The food in the veranda for the ala carte menu is not to up to par.  The crispy liempo is OVER FRIED.  The bulalo did not do justice.   We know how it should taste!  The servings and portions are too small.  Try to come up with group meals.,2015-10-13,neg
booking,I like the room breakfast and view of taal lake.,2015-10-13,pos
booking,There is no separated door for the toilet and no handy spray ...,2015-10-14,neg
booking,Our room view.,2015-10-14,pos
booking,The Mountain Wing room I was in was old. The screen sliding door to the patio kept coming off the rail and I had to fix it every time we went in and out (We hung out in the patio a lot). The coffee maker still had water (probably) from the previous guest. The rubber slip mat in the bathtub was visibly old and should be replaced. Lastly  I was not given a choice to choose a room in the newer and better Lake Wing (where I had previously stayed and was very satisfied) when I booked online.,2015-10-14,neg
booking,The staff were very accommodating and acted quickly  even way past midnight.,2015-10-14,pos
booking,Room service,2015-10-17,neg
booking,Hotel area,2015-10-17,pos
booking,They didn't accommodate my request prior to my stay from Sunday to Wednesday.,2015-10-25,neg
booking,The Amadeo Barako coffee,2015-10-25,pos
booking,Housekeeping were not efficient & consistent,2015-10-29,neg
booking,Staff were very helpful,2015-10-29,pos
booking,It would have been better if the fruit juices in the breakfast buffet were freshly squeezed instead of being powdered concentrate. Also  it would have been more exciting if there were native delicacies in the breakfast fare  as these would go well with the native chocolate drink or even coffee.,2015-10-30,neg
booking,The place is elegant and clean  especially the new wing.   The panoramic view of the Taal lake/volcano was exhilarating.,2015-10-30,pos
booking,ambience and courteous staff and delicious food,2015-10-30,pos
booking,no carpets  no bidet,2015-11-02,neg
booking,the ambience!,2015-11-02,pos
booking,Our Room facing canyon ranch has a not so nice view. Down below also you can see the old Christmas tree that was uses before and some other junk.,2015-11-02,neg
booking,Room is nice . Helpful staff members. Good,2015-11-02,pos
booking,I don't have a bad experience but since I worked in a 5 star hotel before I notice that the tissue in the bathroom is not new bec it is already thin.,2015-11-02,neg
booking,the ambiance is good very accomodating staff overall Good,2015-11-02,pos
booking,I liked the food & ambience.sim,2015-11-07,pos
booking,Security  I rate them 9  a highly secured place  it is much better with the casino gone. I would highly recommend the place to my co-workers   friends and families.While I was young  My Tatay on our way home to Batangas always stop by at the historic coffee shop. Thanks to concierge  front office  restaurant staff  Housekeeping and Security staff.,2015-11-08,pos
booking,Air conditioner was leaking and the room was too warm.  We reported to front desk and they said they'd send someone to fix it.  It wasn't fixed and basically  the front desk person said there was nothing they could do because they couldn't transfer us to other rooms - the hotel was fully booked.  So we still paid the ridiculous price for a room that was uncomfortable and too warm.  They didn't do anything to at least address our complaint.  It was as if...too bad  you're-already-here-so-just bear-with-it kind of case.  The staff were obviously not trained to handle a simple case such as this.  No warmth  no empathy...robotic kind of service. To further validate that we made the wrong choice of staying in this hotel....during breakfast  one of the staff was insisting that my son  9 years old  was an adult.  So I told her to go ahead and interview him herself  and ask for his birth date and whatever qualifying questions she had in mind.  Disappointing.  Assuming that we probably just want to pay half the price of the buffet so we were saying he was below 11.  Annoying....especially when we slept in an uncomfortable state given that the hotel's air conditioner was busted!  Then you see the buffet table fruit selection covered with fruit flies.  Hope this comment reaches the hotel's management team....because obviously...from facilities to staff...you need a total revamp.,2015-11-08,neg
booking,Their front office are very accomodating esp the one named Denise. She always make sure that everything is okay. The food in Cafe Veranda is very very tasty you'll enjoy every bite. And also the location of the hotel  the view of taal lake is very awesome unlike any other hotels.,2015-11-08,pos
booking,checking in and checking out were very smooth. staff were so friendly.,2015-11-11,pos
booking,Some staff at dining area give more attention to foreign guests than us local guests.,2015-11-15,neg
booking,Staff are all courteous and very accommodating. Hotel is very  very clean as in spotless. Food is great. I needed antacid at night but the nurse was on break. One staff sent the med to our room.,2015-11-15,pos
booking,Poor coordination.,2015-11-16,neg
booking,Accommodating and friendly staff  awesome food from Taza Fresh Table,2015-11-16,pos
booking,A highly rated hotel but no dry cleaning  it might not be cost effective but should recommend an alternative...,2015-11-18,neg
booking,Great location. Relaxing stay,2015-11-18,pos
booking,None,2015-11-19,neg
booking,Location and surroundings.,2015-11-19,pos
booking,The price at Booking is much expensive and unreasonable compared to rack rates,2015-11-22,neg
booking,People are nice,2015-11-22,pos
booking,There's a bug in our room. Breakfsst buffet has changed. I like their selection before.,2015-11-22,neg
booking,Thank you for having staffs like denise and mimi,2015-11-22,pos
booking,We've love the viee.. amazing,2015-11-23,pos
booking,It took long time to check in.,2015-11-24,neg
booking,Location,2015-11-24,pos
booking,Wifi is terribly slow  was not able to check emails because of that. The bed is very uncomfortable  we can feel the mattress coil on our backs. We told the bellboy about it but nobody bothered to check. The waiters on the dining area are not very friendly and alert. We have to call their attention a couple of times before they will act.,2015-11-25,neg
booking,I like the location,2015-11-25,pos
booking,Tranquility and serene location.,2015-11-26,pos
booking,Location,2015-11-28,pos
booking,Toilet bowl had water stain ring,2015-12-01,neg
booking,The staff are friendly accomodating and very helpful great location and i really feel safe in this hotel,2015-12-01,pos
booking,A bit pricey,2015-12-01,neg
booking,Taza restaurant - excellent food and service,2015-12-01,pos
booking,On 2nd day the aircon unit was leaking and bathtub drainage is not properly draining which is so unhygiene to wash inside the tub. We stayed in room 269 lake view...pls try to install bidet as well. We need it so badly for hygiene-wise.,2015-12-01,neg
booking,Best view of Taal Volcano and lake,2015-12-01,pos
booking,Food choices,2015-12-01,neg
booking,Weather,2015-12-01,pos
booking,Poor internet connection,2015-12-02,neg
booking,Very good place so relaxing,2015-12-02,pos
booking,Not value for money,2015-12-02,neg
booking,room service are fast and very friendly.,2015-12-02,pos
booking,the checkin was a bit slow. but its ok we were greeted warmly and with drinks.,2015-12-03,neg
