site,review,month,day,year,rate,sentiment,
agoda,It was during the time when you have to wake up in the morning and rest in the afternoon when the sounds of hammer and grillings came. Didnt get enough rest but the place is so awesome.,Oct,08,2017,76,pos,
agoda,I always book through agoda and is aleaysbhassle free. But this time we werent told that we have to pay extra Php3000 at the hotel for reservation fee. What if we only had exact money as was told at the checkout? Just wish the instruction and payment are clear.,Oct,07,2017,64,neg,
agoda,Enjoyed our stay in this hotel. Will definitely comeback and this time with my kids.,Oct,06,2017,100,pos,
agoda,Beautiful tagaytay scenery great view this hotel and nice swimming pool big clean room.,Oct,05,2017,88,pos,
agoda,Enjoyed our stay relaxing place with a view  excellent friendly staff in restaurant  just the traffic to go and back   it took 5 hours to get back home . Oh well traffic in Philippines,Oct,04,2017,96,pos,
agoda,One of the best hotel in Tagaytay. Awesome views of Taal.,Sep,30,2017,76,pos,
agoda,I will visit this Hotel soon... Very much recommended..,Sep,27,2017,68,pos,
agoda,Food has greatly improved in terms of taste and portioning.,Sep,26,2017,84,pos,
agoda,The amount of money I paid to the room we have chosen is not worth it  the room required refurbishment  10 000 php for a deluxe room in taal vista is not worth it compare to estancia tagaytay which I visited last year for the rooms I would recommend estancia but for the food taal vista is much better this is the only good part of staying in taal vista  the ammenities are very poor especially the kids room and gym really require a renovation should the management initiate in urgent basis.,Sep,25,2017,48,neg,
agoda,Stayed here last September 23-24 2017 with my girlfriend. We were celebrating our 10th year anniversary. With this  we were expecting a lot from this hotel given that this is one of the pioneer and high end hotels in Tagaytay. 1. We were booked at room 434 Mountain Wing. 2. The check in process took some time (around 10-15 min) since there were a lot of guests checking in/out during that time. This is totally understandable given this period. 3. We were given a room even before the check in time. We thought that it would be a perfect stay since we got lucky to get a room ahead. 4. As for the room  these are our observations and experiences: a) The room is quite old and not well maintained. b) The furniture like drawers are old and dirty. c) The cabinet where the refrigerator is stored was already broken. When I opened it  the door suddenly fell. d) The cabinet is very dirty. It is quite unhygienic to store your food/drinks here since it is dirty/dusty. e) The bar (refrigerator) is empty. Well  maybe because the cabinet is dirty so they didn't bother to place drinks inside the ref. f) Poor stability of the bed. When I sat down on the edge of the bed to remove my shoes  I thought the mattress will flip over. g) The room is not carpeted. h) They forgot to place fresh bathroom towels and robes. We needed to request this from the housekeeping. I'm not in a hospitality business or whatever but I'm pretty sure that this a standard protocol when new guests will use a hotel room. i) The bathroom is spacious but it is very evident that it is not well maintained. The tiles were shaking (loose) when you step on it. Plus  the pressure of the bidet was too strong. Not sure if this was adjustable since I tried rotating the valve but it was super tight. j) The curtains were torn and looks very old and overused. k) Saw a dead cockroach at the lobby of Mountain Wing. l) The blower where not functioning properly when my gf used it. Also  the vanity mirror was not well lit. m),Sep,25,2017,48,neg,
