month,year ,total_pos,total_neg
Oct,2017,19,14
Sep,2017,34,33
Aug,2017,55,52
Jul,2017,63,34
Jun,2017,54,32
May,2017,53,32
Apr,2017,48,27
Mar,2017,34,27
Feb,2017,51,43
Jan,2017,63,55
Dec,2016,61,50
Nov,2016,53,40
Oct,2016,51,40
Sep,2016,54,43
Aug,2016,38,41
Jul,2016,47,46
Jun,2016,38,44
May,2016,35,40
Apr,2016,43,46
Mar,2016,26,21
Feb,2016,53,43
Jan,2016,51,34
Dec,2015,60,34
Nov,2015,34,24
Oct,2015,45,20
Sep,2015,21,9
Aug,2015,26,3
Jul,2015,9,4
Jun,2015,15,3
May,2015,13,5
Apr,2015,13,3
Mar,2015,10,0
Feb,2015,10,0
Jan,2015,11,14
Dec,2014,20,10
Nov,2014,22,10
Oct,2014,18,5
Sep,2014,18,7
Aug,2014,4,5
Jul,2014,8,2
Jun,2014,23,4
May,2014,17,2
Apr,2014,15,4
Mar,2014,11,9
Feb,2014,6,3
Jan,2014,14,6
Dec,2013,11,3
Nov,2013,10,6
Oct,2013,10,2
Sep,2013,8,2
Aug,2013,23,6
Jul,2013,18,9
Jun,2013,17,5
May,2013,11,6
Apr,2013,17,12
Mar,2013,18,0
Feb,2013,18,7
Jan,2013,26,6
Dec,2012,16,10
Nov,2012,15,5
Oct,2012,19,2
Sep,2012,12,4
Aug,2012,15,8
Jul,2012,15,6
Jun,2012,15,8
May,2012,22,2
Apr,2012,15,5
Mar,2012,4,3
Feb,2012,2,3
Jan,2012,9,4
Dec,2011,1,1
Nov,2011,0,2
Oct,2011,2,1
Sep,2011,3,2
Aug,2011,1,0
Jul,2011,1,0
Jun,2011,1,1
May,2011,2,0
Apr,2011,1,1
Mar,2011,1,1
Feb,2011,0,0
Jan,2011,0,0
