site,review,month,day,year,rate,sentiment,,,
booking,the toilet bowl was unclean. maybe it was the recycled water  but it was very unpleasant.,Oct,12,2015,88,neg,,,
booking,Location   and everything in the hotel is super nice  ..,Oct,12,2015,100,pos,,,
booking,We were given the wrong area lake view 419instead of mountain view ( written - check in paper). No one assisted us so we walked on our own to reach the area. We saw a guard but instructed as to go to different area(from right side towards the left most side- mountain view to lake view). Upon reaching there  we were told that we have to walk all the way to the other side of the property.  And that 419 is mountain view n not lake view. They told us that the paper was wrong. We were carrying our bags by ourselves with no one assisting  or guiding us.,Oct,12,2015,81,neg,,,
booking,it has the best view of the lake and the volcano. the staff is super friendly.,Oct,12,2015,89,pos,,,
booking,The food in the veranda for the ala carte menu is not to up to par.  The crispy liempo is OVER FRIED.  The bulalo did not do justice.   We know how it should taste!  The servings and portions are too small.  Try to come up with group meals.,Oct,13,2015,78,neg,,,
booking,I like the room breakfast and view of taal lake.,Oct,13,2015,89,pos,,,
booking,There is no separated door for the toilet and no handy spray ...,Oct,14,2015,67,neg,,,
booking,Our room view.,Oct,14,2015,98,pos,,,
booking,The Mountain Wing room I was in was old. The screen sliding door to the patio kept coming off the rail and I had to fix it every time we went in and out (We hung out in the patio a lot). The coffee maker still had water (probably) from the previous guest. The rubber slip mat in the bathtub was visibly old and should be replaced. Lastly  I was not given a choice to choose a room in the newer and better Lake Wing (where I had previously stayed and was very satisfied) when I booked online.,Oct,14,2015,75,neg,,,
booking,The staff were very accommodating and acted quickly  even way past midnight.,Oct,14,2015,88,pos,,,
booking,Room service,Oct,17,2015,80,neg,,,
booking,Hotel area,Oct,17,2015,87,pos,,,
booking,They didn't accommodate my request prior to my stay from Sunday to Wednesday.,Oct,25,2015,86,neg,,,
booking,The Amadeo Barako coffee,Oct,25,2015,91,pos,,,
booking,Housekeeping were not efficient & consistent,Oct,29,2015,81,neg,,,
booking,Staff were very helpful,Oct,29,2015,92,pos,,,
booking,It would have been better if the fruit juices in the breakfast buffet were freshly squeezed instead of being powdered concentrate. Also  it would have been more exciting if there were native delicacies in the breakfast fare  as these would go well with the native chocolate drink or even coffee.,Oct,30,2015,78,neg,,,
booking,The place is elegant and clean  especially the new wing.   The panoramic view of the Taal lake/volcano was exhilarating.,Oct,30,2015,93,pos,,,
booking,ambience and courteous staff and delicious food,Oct,30,2015,68,pos,,,
booking,no carpets  no bidet,Nov,02,2015,94,neg,,,
booking,the ambience!,Nov,02,2015,55,pos,,,
booking,Our Room facing canyon ranch has a not so nice view. Down below also you can see the old Christmas tree that was uses before and some other junk.,Nov,02,2015,95,neg,,,
booking,Room is nice . Helpful staff members. Good,Nov,02,2015,44,pos,,,
booking,I don't have a bad experience but since I worked in a 5 star hotel before I notice that the tissue in the bathroom is not new bec it is already thin.,Nov,02,2015,96,neg,,,
booking,the ambiance is good very accomodating staff overall Good,Nov,02,2015,68,pos,,,
booking,I liked the food & ambience.sim,Nov,07,2015,97,pos,,,
booking,Security  I rate them 9  a highly secured place  it is much better with the casino gone. I would highly recommend the place to my co-workers   friends and families.While I was young  My Tatay on our way home to Batangas always stop by at the historic coffee shop. Thanks to concierge  front office  restaurant staff  Housekeeping and Security staff.,Nov,08,2015,69,pos,,,
booking,Air conditioner was leaking and the room was too warm.  We reported to front desk and they said they'd send someone to fix it.  It wasn't fixed and basically  the front desk person said there was nothing they could do because they couldn't transfer us to other rooms - the hotel was fully booked.  So we still paid the ridiculous price for a room that was uncomfortable and too warm.  They didn't do anything to at least address our complaint.  It was as if...too bad  you're-already-here-so-just bear-with-it kind of case.  The staff were obviously not trained to handle a simple case such as this.  No warmth  no empathy...robotic kind of service. To further validate that we made the wrong choice of staying in this hotel....during breakfast  one of the staff was insisting that my son  9 years old  was an adult.  So I told her to go ahead and interview him herself  and ask for his birth date and whatever qualifying questions she had in mind.  Disappointing.  Assuming that we probably just want to pay half the price of the buffet so we were saying he was below 11.  Annoying....especially when we slept in an uncomfortable state given that the hotel's air conditioner was busted!  Then you see the buffet table fruit selection covered with fruit flies.  Hope this comment reaches the hotel's management team....because obviously...from facilities to staff...you need a total revamp.,Nov,08,2015,98,neg,,,
booking,Their front office are very accomodating esp the one named Denise. She always make sure that everything is okay. The food in Cafe Veranda is very very tasty you'll enjoy every bite. And also the location of the hotel  the view of taal lake is very awesome unlike any other hotels.,Nov,08,2015,71,pos,,,
booking,checking in and checking out were very smooth. staff were so friendly.,Nov,11,2015,89,pos,,,
booking,Some staff at dining area give more attention to foreign guests than us local guests.,Nov,15,2015,75,neg,,,
booking,Staff are all courteous and very accommodating. Hotel is very  very clean as in spotless. Food is great. I needed antacid at night but the nurse was on break. One staff sent the med to our room.,Nov,15,2015,87,pos,,,
booking,Poor coordination.,Nov,16,2015,73,neg,,,
booking,Accommodating and friendly staff  awesome food from Taza Fresh Table,Nov,16,2015,88,pos,,,
booking,A highly rated hotel but no dry cleaning  it might not be cost effective but should recommend an alternative...,Nov,18,2015,74,neg,,,
booking,Great location. Relaxing stay,Nov,18,2015,86,pos,,,
booking,None,Nov,19,2015,78,neg,,,
booking,Location and surroundings.,Nov,19,2015,85,pos,,,
booking,The price at Booking is much expensive and unreasonable compared to rack rates,Nov,22,2015,79,neg,,,
booking,People are nice,Nov,22,2015,84,pos,,,
booking,There's a bug in our room. Breakfsst buffet has changed. I like their selection before.,Nov,22,2015,68,neg,,,
booking,Thank you for having staffs like denise and mimi,Nov,22,2015,83,pos,,,
booking,We've love the viee.. amazing,Nov,23,2015,88,pos,,,
booking,It took long time to check in.,Nov,24,2015,82,neg,,,
booking,Location,Nov,24,2015,87,pos,,,
booking,Wifi is terribly slow  was not able to check emails because of that. The bed is very uncomfortable  we can feel the mattress coil on our backs. We told the bellboy about it but nobody bothered to check. The waiters on the dining area are not very friendly and alert. We have to call their attention a couple of times before they will act.,Nov,25,2015,81,neg,,,
booking,I like the location,Nov,25,2015,85,pos,,,
booking,Tranquility and serene location.,Nov,26,2015,80,pos,,,
booking,Location,Nov,28,2015,84,pos,,,
booking,Toilet bowl had water stain ring,Dec,01,2015,98,neg,,,
booking,The staff are friendly accomodating and very helpful great location and i really feel safe in this hotel,Dec,01,2015,83,pos,,,
booking,A bit pricey,Dec,01,2015,97,neg,,,
booking,Taza restaurant - excellent food and service,Dec,01,2015,82,pos,,,
booking,On 2nd day the aircon unit was leaking and bathtub drainage is not properly draining which is so unhygiene to wash inside the tub. We stayed in room 269 lake view...pls try to install bidet as well. We need it so badly for hygiene-wise.,Dec,01,2015,96,neg,,,
booking,Best view of Taal Volcano and lake,Dec,01,2015,81,pos,,,
booking,Food choices,Dec,01,2015,95,neg,,,
booking,Weather,Dec,01,2015,78,pos,,,
booking,Poor internet connection,Dec,02,2015,94,neg,,,
booking,Very good place so relaxing,Dec,02,2015,78,pos,,,
booking,Not value for money,Dec,02,2015,93,neg,,,
booking,room service are fast and very friendly.,Dec,02,2015,67,pos,,,
booking,the checkin was a bit slow. but its ok we were greeted warmly and with drinks.,Dec,03,2015,92,neg,,,
booking,the buffet breakfast was good. our deluxe room is very comfy. an additional single bed was provided without a fee its definitely a plus for a fa ily of 2 adults and 2 kids.thank you Taal Vista.,Dec,03,2015,55,pos,,,
booking,staff in the breakfast cafe are not as good. i fall in line for the breakfast but since the one behind me handed the stub first she was given seats first  so what is the line first huh? table cloth are not change after each use.,Dec,03,2015,69,neg,,,
booking,Just the buffet breakfast,Dec,03,2015,90,pos,,,
